Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821923	SRR7821924	SRR7821925	SRR7821927	SRR7821937	SRR7821938	SRR7821939	SRR7821940	SRR7821941	SRR7821942
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	0	0	2	0	0	4	6	2	4	0	8	4
ENSMUSG00000070695	0	0	0	2	0	0	0	0	0	6	0	6	6	4	3
ENSMUSG00000025909	36	22	25	24	21	13	18	18	13	16	11	42	53	30	49
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	8	5	12	13	23	6	9	5	8	12	15	13	4	8	10
ENSMUSG00000102253	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	130	112	95	119	108	46	72	47	55	29	6	61	34	29	37
ENSMUSG00000103933	14	10	7	7	1	7	15	3	9	7	13	7	7	12	6
ENSMUSG00002075967	0	1	0	1	2	0	1	0	1	0	1	0	1	2	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	3	1	10	4	2	0	17	0	0	6	0	21	1	4	8
ENSMUSG00000061024	1390	1607	1174	1708	1592	1810	2531	1706	1661	1130	1267	1218	1036	1217	1294
ENSMUSG00000102030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025911	1442	1099	1084	1426	1154	804	1771	909	643	1698	1210	1431	1374	1325	1647
ENSMUSG00000081441	13	14	26	25	29	15	37	31	26	25	11	24	10	10	12
ENSMUSG00000067879	4	0	0	0	0	8	2	0	0	8	14	16	8	12	22
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	3090	3970	3677	4814	3881	1066	6303	2646	2244	3693	2216	4924	2961	3979	4967
ENSMUSG00000103634	4	0	2	4	0	0	9	0	0	0	0	0	1	4	2
ENSMUSG00000104154	2	2	10	2	1	0	8	15	11	3	0	0	5	0	7
ENSMUSG00000103435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	3	2	0	6	1	0	1	2	2	6	1	2	3	7	8
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	131	257	229	293	199	44	254	84	89	142	56	188	105	111	161
ENSMUSG00000045210	4727	5087	5014	6185	5020	1991	5000	3245	2624	3383	1946	4333	2447	2953	3942
ENSMUSG00000041763	4103	5120	4493	5773	5276	2582	6634	4436	4114	4376	1714	5463	3076	3943	4541
ENSMUSG00000026504	1090	1168	1087	1185	965	504	1591	651	538	1022	966	1322	750	1044	1096
ENSMUSG00000103367	2	7	5	0	0	3	3	0	0	0	0	6	0	0	3
ENSMUSG00000103584	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102475	0	3	5	4	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000047343	0	4	6	6	2	0	0	1	0	0	0	0	0	0	4
ENSMUSG00000102211	17	16	4	16	9	5	9	12	8	42	31	28	39	40	21
ENSMUSG00000087082	0	2	4	4	1	4	3	5	0	2	2	0	0	0	0
ENSMUSG00000090106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	6	0	2	2	6	0	0	2	0	2	4	0	0
ENSMUSG00000091844	2	40	20	42	29	2	45	34	32	24	8	29	6	30	10
ENSMUSG00000026483	6168	6796	6185	7455	7579	7053	11901	7621	6009	8478	7041	8944	6366	7787	10052
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	1	0	0	0	1	0	0	0	1	2	2	0	0	0
ENSMUSG00000099996	0	0	0	2	2	16	0	0	14	0	0	4	0	2	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	7254	6894	6057	7722	5979	2960	8387	3173	2221	7568	5087	8881	5787	7117	8283
ENSMUSG00000104391	17	43	37	30	16	6	55	17	6	6	6	28	16	19	20
ENSMUSG00000102133	2	5	13	5	0	1	8	0	0	5	0	10	6	0	4
ENSMUSG00000102749	2	0	4	0	0	0	2	4	2	2	1	0	0	2	0
ENSMUSG00000103163	0	0	5	0	4	2	0	0	0	0	0	2	0	1	0
ENSMUSG00000103646	2	0	17	0	2	5	2	2	4	8	6	6	17	20	0
ENSMUSG00000102427	0	0	2	0	0	3	2	0	0	0	0	0	2	0	4
